STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
LGN,D,41,M FLOW,19970305 0000,19970305 0000,---, ,CFS
LGN,D,41,M FLOW,19970306 0000,19970306 0000,---, ,CFS
LGN,D,41,M FLOW,19970307 0000,19970307 0000,---, ,CFS
LGN,D,41,M FLOW,19970308 0000,19970308 0000,---, ,CFS
LGN,D,41,M FLOW,19970309 0000,19970309 0000,---, ,CFS
LGN,D,41,M FLOW,19970310 0000,19970310 0000,---, ,CFS
LGN,D,41,M FLOW,19970311 0000,19970311 0000,---, ,CFS
LGN,D,41,M FLOW,19970312 0000,19970312 0000,---, ,CFS
LGN,D,41,M FLOW,19970313 0000,19970313 0000,---, ,CFS
LGN,D,41,M FLOW,19970314 0000,19970314 0000,---, ,CFS
LGN,D,41,M FLOW,19970315 0000,19970315 0000,---, ,CFS
LGN,D,41,M FLOW,19970316 0000,19970316 0000,---, ,CFS
LGN,D,41,M FLOW,19970317 0000,19970317 0000,---, ,CFS
LGN,D,41,M FLOW,19970318 0000,19970318 0000,---, ,CFS
LGN,D,41,M FLOW,19970319 0000,19970319 0000,651, ,CFS
LGN,D,41,M FLOW,19970320 0000,19970320 0000,575, ,CFS
LGN,D,41,M FLOW,19970321 0000,19970321 0000,561, ,CFS
LGN,D,41,M FLOW,19970322 0000,19970322 0000,581, ,CFS
LGN,D,41,M FLOW,19970323 0000,19970323 0000,579, ,CFS
LGN,D,41,M FLOW,19970324 0000,19970324 0000,587, ,CFS
LGN,D,41,M FLOW,19970325 0000,19970325 0000,614, ,CFS
LGN,D,41,M FLOW,19970326 0000,19970326 0000,617, ,CFS
LGN,D,41,M FLOW,19970327 0000,19970327 0000,588, ,CFS
LGN,D,41,M FLOW,19970328 0000,19970328 0000,586, ,CFS
LGN,D,41,M FLOW,19970329 0000,19970329 0000,581, ,CFS
LGN,D,41,M FLOW,19970330 0000,19970330 0000,569, ,CFS
LGN,D,41,M FLOW,19970331 0000,19970331 0000,572, ,CFS
LGN,D,41,M FLOW,19970401 0000,19970401 0000,587, ,CFS
LGN,D,41,M FLOW,19970402 0000,19970402 0000,599, ,CFS
LGN,D,41,M FLOW,19970403 0000,19970403 0000,568, ,CFS
LGN,D,41,M FLOW,19970404 0000,19970404 0000,527, ,CFS
LGN,D,41,M FLOW,19970405 0000,19970405 0000,526, ,CFS
LGN,D,41,M FLOW,19970406 0000,19970406 0000,520, ,CFS
LGN,D,41,M FLOW,19970407 0000,19970407 0000,527, ,CFS
LGN,D,41,M FLOW,19970408 0000,19970408 0000,540, ,CFS
LGN,D,41,M FLOW,19970409 0000,19970409 0000,528, ,CFS
LGN,D,41,M FLOW,19970410 0000,19970410 0000,524, ,CFS
LGN,D,41,M FLOW,19970411 0000,19970411 0000,395, ,CFS
LGN,D,41,M FLOW,19970412 0000,19970412 0000,322, ,CFS
LGN,D,41,M FLOW,19970413 0000,19970413 0000,320, ,CFS
LGN,D,41,M FLOW,19970414 0000,19970414 0000,322, ,CFS
LGN,D,41,M FLOW,19970415 0000,19970415 0000,1681, ,CFS
LGN,D,41,M FLOW,19970416 0000,19970416 0000,2685, ,CFS
LGN,D,41,M FLOW,19970417 0000,19970417 0000,2745, ,CFS
LGN,D,41,M FLOW,19970418 0000,19970418 0000,2665, ,CFS
LGN,D,41,M FLOW,19970419 0000,19970419 0000,1849, ,CFS
LGN,D,41,M FLOW,19970420 0000,19970420 0000,1144, ,CFS
LGN,D,41,M FLOW,19970421 0000,19970421 0000,1257, ,CFS
LGN,D,41,M FLOW,19970422 0000,19970422 0000,2880, ,CFS
LGN,D,41,M FLOW,19970423 0000,19970423 0000,2795, ,CFS
LGN,D,41,M FLOW,19970424 0000,19970424 0000,2797, ,CFS
LGN,D,41,M FLOW,19970425 0000,19970425 0000,2799, ,CFS
LGN,D,41,M FLOW,19970426 0000,19970426 0000,2782, ,CFS
LGN,D,41,M FLOW,19970427 0000,19970427 0000,2755, ,CFS
LGN,D,41,M FLOW,19970428 0000,19970428 0000,2740, ,CFS
LGN,D,41,M FLOW,19970429 0000,19970429 0000,2690, ,CFS
LGN,D,41,M FLOW,19970430 0000,19970430 0000,2386, ,CFS
LGN,D,41,M FLOW,19970501 0000,19970501 0000,1202, ,CFS
LGN,D,41,M FLOW,19970502 0000,19970502 0000,876, ,CFS
LGN,D,41,M FLOW,19970503 0000,19970503 0000,925, ,CFS
LGN,D,41,M FLOW,19970504 0000,19970504 0000,2229, ,CFS
LGN,D,41,M FLOW,19970505 0000,19970505 0000,2235, ,CFS
LGN,D,41,M FLOW,19970506 0000,19970506 0000,2261, ,CFS
LGN,D,41,M FLOW,19970507 0000,19970507 0000,2196, ,CFS
LGN,D,41,M FLOW,19970508 0000,19970508 0000,2182, ,CFS
LGN,D,41,M FLOW,19970509 0000,19970509 0000,2235, ,CFS
LGN,D,41,M FLOW,19970510 0000,19970510 0000,2242, ,CFS
LGN,D,41,M FLOW,19970511 0000,19970511 0000,1216, ,CFS
LGN,D,41,M FLOW,19970512 0000,19970512 0000,1005, ,CFS
LGN,D,41,M FLOW,19970513 0000,19970513 0000,2073, ,CFS
LGN,D,41,M FLOW,19970514 0000,19970514 0000,1552, ,CFS
LGN,D,41,M FLOW,19970515 0000,19970515 0000,703, ,CFS
LGN,D,41,M FLOW,19970516 0000,19970516 0000,234, ,CFS
LGN,D,41,M FLOW,19970517 0000,19970517 0000,208, ,CFS
LGN,D,41,M FLOW,19970518 0000,19970518 0000,217, ,CFS
LGN,D,41,M FLOW,19970519 0000,19970519 0000,223, ,CFS
