STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TLG,M,66,MON FLO,19851001 0000,19851031 0000,53670,,AF
TLG,M,66,MON FLO,19851101 0000,19851130 0000,43100,,AF
TLG,M,66,MON FLO,19851201 0000,19851231 0000,59530,,AF
TLG,M,66,MON FLO,19860101 0000,19860131 0000,26920,,AF
TLG,M,66,MON FLO,19860201 0000,19860228 0000,103750,,AF
TLG,M,66,MON FLO,19860301 0000,19860331 0000,376100,,AF
TLG,M,66,MON FLO,19860401 0000,19860430 0000,414590,,AF
TLG,M,66,MON FLO,19860501 0000,19860531 0000,275940,,AF
TLG,M,66,MON FLO,19860601 0000,19860529 0000,238693,,AF
TLG,M,66,MON FLO,19860701 0000,19860731 0000,167570,,AF
TLG,M,66,MON FLO,19860801 0000,19860831 0000,139110,,AF
TLG,M,66,MON FLO,19860901 0000,19861001 0000,95790,,AF
TLG,M,66,MON FLO,19861001 0000,19861031 0000,111770,,AF
TLG,M,66,MON FLO,19861101 0000,19861130 0000,71780,,AF
TLG,M,66,MON FLO,19861201 0000,19861231 0000,132710,,AF
TLG,M,66,MON FLO,19870101 0000,19870131 0000,67210,,AF
TLG,M,66,MON FLO,19870201 0000,19870303 0000,38340,,AF
TLG,M,66,MON FLO,19870301 0000,19870331 0000,51860,,AF
TLG,M,66,MON FLO,19870401 0000,19870501 0000,129900,,AF
TLG,M,66,MON FLO,19870501 0000,19870531 0000,112850,,AF
TLG,M,66,MON FLO,19870601 0000,19870630 0000,117710,,AF
TLG,M,66,MON FLO,19870701 0000,19870731 0000,122230,,AF
TLG,M,66,MON FLO,19870801 0000,19870729 0000,134477,,AF
TLG,M,66,MON FLO,19870901 0000,19870829 0000,74608,,AF
TLG,M,66,MON FLO,19871001 0000,19870928 0000,35835,,AF
TLG,M,66,MON FLO,19871101 0000,19871029 0000,39860,,AF
TLG,M,66,MON FLO,19871201 0000,19871128 0000,13617,,AF
TLG,M,66,MON FLO,19880101 0000,19871229 0000,7323,,AF
TLG,M,66,MON FLO,19880201 0000,19880131 0000,6216,,AF
TLG,M,66,MON FLO,19880301 0000,19880229 0000,95240,,AF
TLG,M,66,MON FLO,19880401 0000,19880331 0000,61208,,AF
TLG,M,66,MON FLO,19880501 0000,19880430 0000,38297,,AF
TLG,M,66,MON FLO,19880601 0000,19880529 0000,60530,,AF
TLG,M,66,MON FLO,19880701 0000,19880628 0000,127831,,AF
TLG,M,66,MON FLO,19880801 0000,19880729 0000,57300,,AF
TLG,M,66,MON FLO,19880901 0000,19880829 0000,29096,,AF
TLG,M,66,MON FLO,19881001 0000,19880928 0000,6254,,AF
TLG,M,66,MON FLO,19881101 0000,19881029 0000,6732,,AF
TLG,M,66,MON FLO,19881201 0000,19881128 0000,5697,,AF
TLG,M,66,MON FLO,19890101 0000,19881229 0000,4272,,AF
TLG,M,66,MON FLO,19890201 0000,19890131 0000,4510,,AF
TLG,M,66,MON FLO,19890301 0000,19890228 0000,42270,,AF
TLG,M,66,MON FLO,19890401 0000,19890331 0000,63227,,AF
TLG,M,66,MON FLO,19890501 0000,19890430 0000,86446,,AF
TLG,M,66,MON FLO,19890601 0000,19890529 0000,112802,,AF
TLG,M,66,MON FLO,19890701 0000,19890628 0000,162744,,AF
TLG,M,66,MON FLO,19890801 0000,19890729 0000,134122,,AF
TLG,M,66,MON FLO,19890901 0000,19890829 0000,51334,,AF
TLG,M,66,MON FLO,19891001 0000,19890928 0000,13269,,AF
TLG,M,66,MON FLO,19891101 0000,19891029 0000,15915,,AF
TLG,M,66,MON FLO,19891201 0000,19891128 0000,21124,,AF
TLG,M,66,MON FLO,19900101 0000,19891229 0000,16177,,AF
TLG,M,66,MON FLO,19900201 0000,19900131 0000,8432,,AF
TLG,M,66,MON FLO,19900301 0000,19900228 0000,10187,,AF
TLG,M,66,MON FLO,19900401 0000,19900331 0000,123273,,AF
TLG,M,66,MON FLO,19900501 0000,19900430 0000,110503,,AF
TLG,M,66,MON FLO,19900601 0000,19900529 0000,100899,,AF
TLG,M,66,MON FLO,19900701 0000,19900729 0000,154963,,AF
TLG,M,66,MON FLO,19900801 0000,19900829 0000,135844,,AF
TLG,M,66,MON FLO,19900901 0000,19900928 0000,45804,,AF
TLG,M,66,MON FLO,19901001 0000,19901029 0000,46435,,AF
TLG,M,66,MON FLO,19901101 0000,19901128 0000,7446,,AF
TLG,M,66,MON FLO,19901201 0000,19901229 0000,21221,,AF
TLG,M,66,MON FLO,19910101 0000,19910131 0000,41613,,AF
TLG,M,66,MON FLO,19910201 0000,19910228 0000,20471,,AF
TLG,M,66,MON FLO,19910301 0000,19910331 0000,5786,,AF
TLG,M,66,MON FLO,19910401 0000,19910430 0000,73313,,AF
TLG,M,66,MON FLO,19910501 0000,19910529 0000,118477,,AF
TLG,M,66,MON FLO,19910601 0000,19910628 0000,107575,,AF
TLG,M,66,MON FLO,19910701 0000,19910729 0000,144123,,AF
TLG,M,66,MON FLO,19910801 0000,19910829 0000,128969,,AF
TLG,M,66,MON FLO,19910901 0000,19910928 0000,52320,,AF
TLG,M,66,MON FLO,19911001 0000,19911029 0000,48009,,AF
TLG,M,66,MON FLO,19911101 0000,19911128 0000,29187,,AF
TLG,M,66,MON FLO,19911201 0000,19911229 0000,12035,,AF
TLG,M,66,MON FLO,19920101 0000,19920131 0000,42818,,AF
TLG,M,66,MON FLO,19920201 0000,19920229 0000,84342,,AF
TLG,M,66,MON FLO,19920301 0000,19920331 0000,28009,,AF
TLG,M,66,MON FLO,19920401 0000,19920430 0000,131930,,AF
TLG,M,66,MON FLO,19920501 0000,19920529 0000,142308,,AF
