STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,,
TLG,M,65,MON FNF,19001001 0000,19951222 0000,79000,,AF,,
TLG,M,65,MON FNF,19001101 0000,19951222 0000,159000,,AF,,
TLG,M,65,MON FNF,19001201 0000,19951222 0000,85300,,AF,,
TLG,M,65,MON FNF,19010101 0000,19951222 0000,223000,,AF,,
TLG,M,65,MON FNF,19010201 0000,19951222 0000,436000,,AF,,
TLG,M,65,MON FNF,19010301 0000,19951222 0000,245000,,AF,,
TLG,M,65,MON FNF,19010401 0000,19951222 0000,257000,,AF,,
TLG,M,65,MON FNF,19010501 0000,19951222 0000,532000,,AF,,
TLG,M,65,MON FNF,19010601 0000,19951222 0000,590000,,AF,,
TLG,M,65,MON FNF,19010701 0000,19951222 0000,252000,,AF,,
TLG,M,65,MON FNF,19010801 0000,19951222 0000,51900,,AF,,
TLG,M,65,MON FNF,19010901 0000,19951222 0000,10700,,AF,,
TLG,M,65,MON FNF,19011001 0000,19951222 0000,13700,,AF,,
TLG,M,65,MON FNF,19011101 0000,19951222 0000,35900,,AF,,
TLG,M,65,MON FNF,19011201 0000,19951222 0000,86400,,AF,,
TLG,M,65,MON FNF,19020101 0000,19951222 0000,22500,,AF,,
TLG,M,65,MON FNF,19020201 0000,19951222 0000,84000,,AF,,
TLG,M,65,MON FNF,19020301 0000,19951222 0000,139000,,AF,,
TLG,M,65,MON FNF,19020401 0000,19951222 0000,292000,,AF,,
TLG,M,65,MON FNF,19020501 0000,19951222 0000,398000,,AF,,
TLG,M,65,MON FNF,19020601 0000,19951222 0000,401000,,AF,,
TLG,M,65,MON FNF,19020701 0000,19951222 0000,84200,,AF,,
TLG,M,65,MON FNF,19020801 0000,19951222 0000,27000,,AF,,
TLG,M,65,MON FNF,19020901 0000,19951222 0000,6140,,AF,,
TLG,M,65,MON FNF,19021001 0000,19951222 0000,7840,,AF,,
TLG,M,65,MON FNF,19021101 0000,19951222 0000,41000,,AF,,
TLG,M,65,MON FNF,19021201 0000,19951222 0000,50900,,AF,,
TLG,M,65,MON FNF,19030101 0000,19951222 0000,123000,,AF,,
TLG,M,65,MON FNF,19030201 0000,19951222 0000,93700,,AF,,
TLG,M,65,MON FNF,19030301 0000,19951222 0000,195000,,AF,,
TLG,M,65,MON FNF,19030401 0000,19951222 0000,341000,,AF,,
TLG,M,65,MON FNF,19030501 0000,19951222 0000,479000,,AF,,
TLG,M,65,MON FNF,19030601 0000,19951222 0000,439000,,AF,,
TLG,M,65,MON FNF,19030701 0000,19951222 0000,83400,,AF,,
TLG,M,65,MON FNF,19030801 0000,19951222 0000,16500,,AF,,
TLG,M,65,MON FNF,19030901 0000,19951222 0000,7010,,AF,,
TLG,M,65,MON FNF,19031001 0000,19951222 0000,5400,,AF,,
TLG,M,65,MON FNF,19031101 0000,19951222 0000,59300,,AF,,
TLG,M,65,MON FNF,19031201 0000,19951222 0000,26600,,AF,,
TLG,M,65,MON FNF,19040101 0000,19951222 0000,26000,,AF,,
TLG,M,65,MON FNF,19040201 0000,19951222 0000,217000,,AF,,
TLG,M,65,MON FNF,19040301 0000,19951222 0000,334000,,AF,,
TLG,M,65,MON FNF,19040401 0000,19951222 0000,350000,,AF,,
TLG,M,65,MON FNF,19040501 0000,19951222 0000,656000,,AF,,
TLG,M,65,MON FNF,19040601 0000,19951222 0000,517000,,AF,,
TLG,M,65,MON FNF,19040701 0000,19951222 0000,164000,,AF,,
TLG,M,65,MON FNF,19040801 0000,19951222 0000,46500,,AF,,
TLG,M,65,MON FNF,19040901 0000,19951222 0000,37600,,AF,,
TLG,M,65,MON FNF,19041001 0000,19951222 0000,197000,,AF,,
TLG,M,65,MON FNF,19041101 0000,19951222 0000,45400,,AF,,
TLG,M,65,MON FNF,19041201 0000,19951222 0000,28500,,AF,,
TLG,M,65,MON FNF,19050101 0000,19050131 0000,45200,,AF,,
TLG,M,65,MON FNF,19050201 0000,19050228 0000,103000,,AF,,
TLG,M,65,MON FNF,19050301 0000,19050331 0000,200000,,AF,,
TLG,M,65,MON FNF,19050401 0000,19050430 0000,227000,,AF,,
TLG,M,65,MON FNF,19050501 0000,19050531 0000,345000,,AF,,
