STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TLG,D,8,FNF,19821001 0000,19821001 0000,1388,r,CFS
TLG,D,8,FNF,19821002 0000,19821002 0000,1039,r,CFS
TLG,D,8,FNF,19821003 0000,19821003 0000,1193,r,CFS
TLG,D,8,FNF,19821004 0000,19821004 0000,1099,r,CFS
TLG,D,8,FNF,19821005 0000,19821005 0000,100,r,CFS
TLG,D,8,FNF,19821006 0000,19821006 0000,1140,r,CFS
TLG,D,8,FNF,19821007 0000,19821007 0000,320,r,CFS
TLG,D,8,FNF,19821008 0000,19821008 0000,616,r,CFS
TLG,D,8,FNF,19821009 0000,19821009 0000,968,r,CFS
TLG,D,8,FNF,19821010 0000,19821010 0000,414,r,CFS
TLG,D,8,FNF,19821011 0000,19821011 0000,670,r,CFS
TLG,D,8,FNF,19821012 0000,19821012 0000,1279,r,CFS
TLG,D,8,FNF,19821013 0000,19821013 0000,72,r,CFS
TLG,D,8,FNF,19821014 0000,19821014 0000,525,r,CFS
TLG,D,8,FNF,19821015 0000,19821015 0000,987,r,CFS
TLG,D,8,FNF,19821016 0000,19821016 0000,131,r,CFS
TLG,D,8,FNF,19821017 0000,19821017 0000,653,r,CFS
TLG,D,8,FNF,19821018 0000,19821018 0000,-161,r,CFS
TLG,D,8,FNF,19821019 0000,19821019 0000,928,r,CFS
TLG,D,8,FNF,19821020 0000,19821020 0000,277,r,CFS
TLG,D,8,FNF,19821021 0000,19821021 0000,892,r,CFS
TLG,D,8,FNF,19821022 0000,19821022 0000,-66,r,CFS
TLG,D,8,FNF,19821023 0000,19821023 0000,3060,r,CFS
TLG,D,8,FNF,19821024 0000,19821024 0000,3778,r,CFS
TLG,D,8,FNF,19821025 0000,19821025 0000,13222,r,CFS
TLG,D,8,FNF,19821026 0000,19821026 0000,16209,r,CFS
TLG,D,8,FNF,19821027 0000,19821027 0000,7654,r,CFS
TLG,D,8,FNF,19821028 0000,19821028 0000,3366,r,CFS
TLG,D,8,FNF,19821029 0000,19821029 0000,3227,r,CFS
TLG,D,8,FNF,19821030 0000,19821030 0000,5563,r,CFS
TLG,D,8,FNF,19821031 0000,19821031 0000,6521,r,CFS
TLG,D,8,FNF,19821101 0000,19821101 0000,3390,r,CFS
TLG,D,8,FNF,19821102 0000,19821102 0000,2336,r,CFS
TLG,D,8,FNF,19821103 0000,19821103 0000,2739,r,CFS
TLG,D,8,FNF,19821104 0000,19821104 0000,1618,r,CFS
TLG,D,8,FNF,19821105 0000,19821105 0000,911,r,CFS
TLG,D,8,FNF,19821106 0000,19821106 0000,1488,r,CFS
TLG,D,8,FNF,19821107 0000,19821107 0000,1213,r,CFS
TLG,D,8,FNF,19821108 0000,19821108 0000,1532,r,CFS
TLG,D,8,FNF,19821109 0000,19821109 0000,1288,r,CFS
TLG,D,8,FNF,19821110 0000,19821110 0000,1603,r,CFS
TLG,D,8,FNF,19821111 0000,19821111 0000,1939,r,CFS
TLG,D,8,FNF,19821112 0000,19821112 0000,1867,r,CFS
TLG,D,8,FNF,19821113 0000,19821113 0000,889,r,CFS
TLG,D,8,FNF,19821114 0000,19821114 0000,904,r,CFS
TLG,D,8,FNF,19821115 0000,19821115 0000,1292,r,CFS
TLG,D,8,FNF,19821116 0000,19821116 0000,1801,r,CFS
TLG,D,8,FNF,19821117 0000,19821117 0000,1091,r,CFS
TLG,D,8,FNF,19821118 0000,19821118 0000,8506,r,CFS
TLG,D,8,FNF,19821119 0000,19821119 0000,6443,r,CFS
TLG,D,8,FNF,19821120 0000,19821120 0000,2676,r,CFS
TLG,D,8,FNF,19821121 0000,19821121 0000,3478,r,CFS
TLG,D,8,FNF,19821122 0000,19821122 0000,2372,r,CFS
TLG,D,8,FNF,19821123 0000,19821123 0000,4204,r,CFS
TLG,D,8,FNF,19821124 0000,19821124 0000,2036,r,CFS
TLG,D,8,FNF,19821125 0000,19821125 0000,2381,r,CFS
TLG,D,8,FNF,19821126 0000,19821126 0000,1830,r,CFS
TLG,D,8,FNF,19821127 0000,19821127 0000,2273,r,CFS
TLG,D,8,FNF,19821128 0000,19821128 0000,2486,r,CFS
TLG,D,8,FNF,19821129 0000,19821129 0000,6126,r,CFS
TLG,D,8,FNF,19821130 0000,19821130 0000,16232,r,CFS
TLG,D,8,FNF,19821201 0000,19821201 0000,10020,r,CFS
TLG,D,8,FNF,19821202 0000,19821202 0000,4719,r,CFS
TLG,D,8,FNF,19821203 0000,19821203 0000,3172,r,CFS
TLG,D,8,FNF,19821204 0000,19821204 0000,2836,r,CFS
TLG,D,8,FNF,19821205 0000,19821205 0000,2847,r,CFS
TLG,D,8,FNF,19821206 0000,19821206 0000,2947,r,CFS
TLG,D,8,FNF,19821207 0000,19821207 0000,2353,r,CFS
TLG,D,8,FNF,19821208 0000,19821208 0000,1551,r,CFS
TLG,D,8,FNF,19821209 0000,19821209 0000,2362,r,CFS
TLG,D,8,FNF,19821210 0000,19821210 0000,1908,r,CFS
TLG,D,8,FNF,19821211 0000,19821211 0000,2402,r,CFS
TLG,D,8,FNF,19821212 0000,19821212 0000,1726,r,CFS
TLG,D,8,FNF,19821213 0000,19821213 0000,1566,r,CFS
TLG,D,8,FNF,19821214 0000,19821214 0000,1586,r,CFS
TLG,D,8,FNF,19821215 0000,19821215 0000,2394,r,CFS
TLG,D,8,FNF,19821216 0000,19821216 0000,1193,r,CFS
TLG,D,8,FNF,19821217 0000,19821217 0000,2232,r,CFS
TLG,D,8,FNF,19821218 0000,19821218 0000,2193,r,CFS
TLG,D,8,FNF,19821219 0000,19821219 0000,1320,r,CFS
TLG,D,8,FNF,19821220 0000,19821220 0000,2159,r,CFS
TLG,D,8,FNF,19821221 0000,19821221 0000,5475,r,CFS
TLG,D,8,FNF,19821222 0000,19821222 0000,24084,r,CFS
TLG,D,8,FNF,19821223 0000,19821223 0000,13180,r,CFS
TLG,D,8,FNF,19821224 0000,19821224 0000,6627,r,CFS
TLG,D,8,FNF,19821225 0000,19821225 0000,4096,r,CFS
TLG,D,8,FNF,19821226 0000,19821226 0000,3644,r,CFS
TLG,D,8,FNF,19821227 0000,19821227 0000,3340,r,CFS
TLG,D,8,FNF,19821228 0000,19821228 0000,2695,r,CFS
TLG,D,8,FNF,19821229 0000,19821229 0000,2402,r,CFS
TLG,D,8,FNF,19821230 0000,19821230 0000,2710,r,CFS
TLG,D,8,FNF,19821231 0000,19821231 0000,1682,r,CFS
TLG,D,8,FNF,19830101 0000,19830101 0000,2306,r,CFS
TLG,D,8,FNF,19830102 0000,19830102 0000,1802,r,CFS
TLG,D,8,FNF,19830103 0000,19830103 0000,1784,r,CFS
TLG,D,8,FNF,19830104 0000,19830104 0000,1510,r,CFS
TLG,D,8,FNF,19830105 0000,19830105 0000,1631,r,CFS
TLG,D,8,FNF,19830106 0000,19830106 0000,1630,r,CFS
TLG,D,8,FNF,19830107 0000,19830107 0000,2287,r,CFS
TLG,D,8,FNF,19830108 0000,19830108 0000,1538,r,CFS
TLG,D,8,FNF,19830109 0000,19830109 0000,2043,r,CFS
TLG,D,8,FNF,19830110 0000,19830110 0000,884,r,CFS
TLG,D,8,FNF,19830111 0000,19830111 0000,2405,r,CFS
TLG,D,8,FNF,19830112 0000,19830112 0000,1711,r,CFS
TLG,D,8,FNF,19830113 0000,19830113 0000,1770,r,CFS
TLG,D,8,FNF,19830114 0000,19830114 0000,1721,r,CFS
TLG,D,8,FNF,19830115 0000,19830115 0000,1014,r,CFS
TLG,D,8,FNF,19830116 0000,19830116 0000,2183,r,CFS
TLG,D,8,FNF,19830117 0000,19830117 0000,1851,r,CFS
TLG,D,8,FNF,19830118 0000,19830118 0000,3052,r,CFS
TLG,D,8,FNF,19830119 0000,19830119 0000,3767,r,CFS
TLG,D,8,FNF,19830120 0000,19830120 0000,2043,r,CFS
TLG,D,8,FNF,19830121 0000,19830121 0000,2043,r,CFS
TLG,D,8,FNF,19830122 0000,19830122 0000,10826,r,CFS
TLG,D,8,FNF,19830123 0000,19830123 0000,7105,r,CFS
TLG,D,8,FNF,19830124 0000,19830124 0000,15565,r,CFS
TLG,D,8,FNF,19830125 0000,19830125 0000,7801,r,CFS
TLG,D,8,FNF,19830126 0000,19830126 0000,6475,r,CFS
TLG,D,8,FNF,19830127 0000,19830127 0000,17653,r,CFS
TLG,D,8,FNF,19830128 0000,19830128 0000,7377,r,CFS
TLG,D,8,FNF,19830129 0000,19830129 0000,8639,r,CFS
TLG,D,8,FNF,19830130 0000,19830130 0000,5412,r,CFS
TLG,D,8,FNF,19830131 0000,19830131 0000,3889,r,CFS
TLG,D,8,FNF,19830201 0000,19830201 0000,3742,r,CFS
TLG,D,8,FNF,19830202 0000,19830202 0000,3792,r,CFS
TLG,D,8,FNF,19830203 0000,19830203 0000,3185,r,CFS
TLG,D,8,FNF,19830204 0000,19830204 0000,3286,r,CFS
TLG,D,8,FNF,19830205 0000,19830205 0000,2215,r,CFS
TLG,D,8,FNF,19830206 0000,19830206 0000,4153,r,CFS
TLG,D,8,FNF,19830207 0000,19830207 0000,16425,r,CFS
TLG,D,8,FNF,19830208 0000,19830208 0000,14480,r,CFS
TLG,D,8,FNF,19830209 0000,19830209 0000,7748,r,CFS
TLG,D,8,FNF,19830210 0000,19830210 0000,5407,r,CFS
TLG,D,8,FNF,19830211 0000,19830211 0000,4592,r,CFS
TLG,D,8,FNF,19830212 0000,19830212 0000,5602,r,CFS
TLG,D,8,FNF,19830213 0000,19830213 0000,10585,r,CFS
TLG,D,8,FNF,19830214 0000,19830214 0000,6139,r,CFS
TLG,D,8,FNF,19830215 0000,19830215 0000,4511,r,CFS
TLG,D,8,FNF,19830216 0000,19830216 0000,4508,r,CFS
TLG,D,8,FNF,19830217 0000,19830217 0000,3954,r,CFS
TLG,D,8,FNF,19830218 0000,19830218 0000,5266,r,CFS
TLG,D,8,FNF,19830219 0000,19830219 0000,4804,r,CFS
TLG,D,8,FNF,19830220 0000,19830220 0000,3836,r,CFS
TLG,D,8,FNF,19830221 0000,19830221 0000,4166,r,CFS
TLG,D,8,FNF,19830222 0000,19830222 0000,3595,r,CFS
TLG,D,8,FNF,19830223 0000,19830223 0000,3949,r,CFS
TLG,D,8,FNF,19830224 0000,19830224 0000,3129,r,CFS
TLG,D,8,FNF,19830225 0000,19830225 0000,4832,r,CFS
TLG,D,8,FNF,19830226 0000,19830226 0000,6770,r,CFS
TLG,D,8,FNF,19830227 0000,19830227 0000,8099,r,CFS
