"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",0.9,0.01,0.04,0.15,0.4,0.07,0.27,1
"2",0.71,0,0.03,0.15,0.4,0.08,0.26,2
"3",0.76,0,0.03,0.13,0.34,0.06,0.19,3
"4",0.56,0.02,0.05,0.14,0.38,0.07,0.24,4
"5",0.9,0.01,0.04,0.16,0.66,0.08,0.26,5
"6",1.28,0.01,0.01,0.12,0.28,0.04,0.18,6
"7",1.29,0.01,0.03,0.12,0.4,0.06,0.2,7
"8",0.64,0.01,0.03,0.12,0.31,0.07,0.22,8
"9",0.9,0,0.03,0.1,0.38,0.06,0.2,9
"10",0.94,0,0.02,0.12,0.35,0.06,0.2,10
"11",1.67,0.01,0.03,0.18,0.42,0.08,0.23,11
"12",1.59,0,0.02,0.14,0.41,0.05,0.2,12
"13",1.13,0.01,0.03,0.11,0.45,0.04,0.24,13
"14",3.75,0.01,0.02,0.11,0.36,0.04,0.24,14
"15",1.72,0.01,0.03,0.08,0.35,0.04,0.22,15
"16",0.68,0.02,0.04,0.1,0.46,0.05,0.22,16
"17",2.23,0,0.03,0.13,0.55,0.08,0.26,17
"18",0.92,0.01,0.04,0.16,0.37,0.08,0.32,18
"19",0.73,0.01,0.05,0.13,0.32,0.1,0.2,19
"20",0.72,0.03,0.05,0.16,0.43,0.07,0.24,20
"21",0.48,0.02,0.04,0.12,0.37,0.06,0.22,21
"22",0.59,0,0.05,0.1,0.39,0.06,0.22,22
"23",1.76,0.01,0.05,0.12,0.32,0.08,0.25,23
"24",5.47,0.02,0.06,0.14,0.51,0.07,0.3,24
"25",19.11,0.03,0.05,0.17,0.55,0.1,0.29,25
"26",7.27,0.02,0.04,0.17,1.08,0.08,0.36,26
"27",2.52,0.01,0.04,0.17,0.77,0.07,0.35,27
"28",2.47,0,0.02,0.2,0.53,0.07,0.36,28
"29",1.93,0.04,0.05,0.16,0.67,0.1,0.37,29
"30",1.52,0.01,0.03,0.15,0.65,0.11,0.29,30
"31",1.75,0,0.02,0.17,0.54,0.1,0.32,31
"32",1.52,0.02,0.04,0.17,0.4,0.09,0.25,32
"33",2.71,0,0.04,0.12,0.37,0.08,0.25,33
"34",1.4,0.01,0.03,0.16,0.49,0.08,0.23,34
"35",0.85,0.01,0.04,0.14,0.44,0.09,0.28,35
"36",0.83,0.02,0.05,0.17,0.54,0.09,0.28,36
"37",1.34,0,0.04,0.13,0.5,0.08,0.25,37
"38",0.74,0.02,0.07,0.17,0.42,0.09,0.27,38
"39",5.03,0.02,0.06,0.15,0.51,0.08,0.33,39
"40",3.53,0.03,0.05,0.19,0.52,0.09,0.32,40
"41",1.73,0.02,0.06,0.16,0.6,0.09,0.33,41
"42",1.19,0.01,0.04,0.17,0.47,0.07,0.32,42
"43",1.14,0.01,0.02,0.15,0.51,0.06,0.28,43
"44",0.88,0.04,0.07,0.21,0.61,0.11,0.34,44
"45",1.46,0.02,0.06,0.2,0.44,0.09,0.35,45
"46",1.1,0,0.04,0.24,0.45,0.13,0.35,46
"47",1.03,0.01,0.07,0.17,0.52,0.09,0.35,47
"48",7.58,0.03,0.07,0.24,0.63,0.13,0.34,48
"49",2.08,0.02,0.06,0.21,0.86,0.11,0.37,49
"50",1.01,0,0.06,0.21,0.58,0.11,0.34,50
"51",0.81,0.01,0.06,0.23,0.56,0.13,0.38,51
"52",1.06,0,0.07,0.23,0.62,0.1,0.41,52
"53",2.43,0.01,0.06,0.21,0.63,0.12,0.37,53
"54",1.24,0.02,0.07,0.23,0.7,0.11,0.48,54
